PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00niA,6n1/6P1/6N1/8/1p6/1k5P/5K2/8 w - - 3 58,h3h4 b3c3 h4h5 b4b3 g6e5 b3b2,2269,81,89,110,advancedPawn crushing endgame knightEndgame long,https://lichess.org/sMnyoWHK#115,
02vxV,r2qr3/pb3kp1/np2p2p/2p1P3/2P3n1/P2BB3/1PQ2PPP/3R1RK1 b - - 2 16,g4e3 f2e3 f7g8 d3h7 g8h8 d1d8,2269,76,89,386,crushing discoveredAttack discoveredCheck long middlegame,https://lichess.org/CYp0jMPF/black#32,French_Defense French_Defense_Normal_Variation
0AiaB,3rr1k1/p4pp1/1b1B3p/2p1n1q1/8/2Q3N1/PP3PPP/3RR1K1 w - - 0 24,d6c5 d8d1 e1d1 b6c5,2269,81,80,62,crushing intermezzo middlegame short,https://lichess.org/5LYOyHga#47,
0B5SY,r5k1/pp3pp1/2p4p/3b3Q/8/1PBP1r1P/1PP2qP1/R5RK w - - 0 26,c3g7 f3g3 g7d4 f2d4,2269,90,55,27,crushing middlegame short,https://lichess.org/jbVmjzNd#51,
0Da7c,8/6k1/5r2/ppp1p3/3pP3/1PPP4/1PK5/5R2 w - - 0 32,f1f6 g7f6 b3b4 a5b4 c3b4 c5c4 d3c4 b5c4,2269,82,90,636,crushing endgame veryLong,https://lichess.org/myye4PXw#63,
0FwcZ,5rk1/5ppp/pq2pn2/1p6/8/2N2Q1P/PP1rRPP1/2R3K1 b - - 2 23,f8d8 e2d2 d8d2 c3d5,2269,82,90,1410,advantage middlegame short,https://lichess.org/RgwfoQ92/black#46,
0HZCe,r1bq1rk1/1p3pp1/p1pp2np/2b1p2Q/4P3/PB1P3P/1PP2PPN/R1B2RK1 b - - 3 13,d8h4 h5g6 d6d5 h2f3,2269,76,93,2187,crushing opening pin short,https://lichess.org/xn3jeeRO/black#26,Bishops_Opening Bishops_Opening_Vienna_Hybrid
0I3Ia,5rk1/4qpp1/2p5/1p1n1PN1/5nQ1/p1PB4/PP6/1K3R2 b - - 0 33,f4d3 g4h4 e7g5 h4g5,2269,84,89,1933,advantage master middlegame quietMove short,https://lichess.org/0xpbREsf/black#66,
0O5zu,8/p4ppp/4p3/3pP3/5bP1/kP3N1P/P7/1K6 b - - 6 30,h7h6 f3e1 a3b4 e1d3 b4c3 d3f4,2269,76,91,452,advantage endgame fork long quietMove,https://lichess.org/jKvW16ur/black#60,
0Oaux,8/6k1/1r3p2/1Pr1pPp1/2pp2P1/5K2/R7/1R6 b - - 1 45,c4c3 a2a7 g7g8 a7a8,2269,79,81,98,advantage endgame rookEndgame short,https://lichess.org/6IpiqqRK/black#90,
0PzbU,8/8/8/8/p7/k2KP3/8/8 w - - 0 54,e3e4 a3b3 e4e5 a4a3 e5e6 a3a2,2269,76,86,409,advancedPawn crushing endgame long pawnEndgame,https://lichess.org/ic7hqK45#107,
0TuWl,5r1k/pp5n/2pp4/5p2/2Pq2nQ/2Nr4/PP4PP/4RR1K b - - 6 24,f8f6 e1e8 h8g7 e8e7 g7f8 e7h7,2269,90,78,41,crushing deflection exposedKing kingsideAttack long middlegame skewer,https://lichess.org/Wlv4PKDm/black#48,
0aC2P,8/8/8/5p2/5P2/3k1K1p/7P/8 w - - 0 50,f3g3 d3e3 g3h3 e3f3 h3h4 f3f4 h4h3 f4f3,2269,75,84,458,crushing defensiveMove endgame pawnEndgame veryLong zugzwang,https://lichess.org/2Av9AttT#99,
0biNa,2r3k1/1R3pp1/p2q3p/8/8/P1N5/1P1r1PPP/2Q1R1K1 w - - 5 26,e1d1 c8c3 b7b8 g8h7 c1b1 c3c2 d1d2 d6d2,2269,98,90,1213,advantage middlegame veryLong,https://lichess.org/UEpyNtsX#51,
0bvda,2r4k/4r1pp/1p1bN3/p2Q1pP1/1P1P1Pn1/P1Pq4/3B3P/3RR1K1 w - - 1 30,d5d6 d3f3 d2e3 c8e8 d6e7 e8e7,2269,165,80,17,crushing long middlegame quietMove,https://lichess.org/7v0VVgmr#59,
0ew00,r4rk1/4b1pp/p3pn2/1pp1B3/2bq4/P1NB4/1PP1Q1PP/3R1R1K b - - 5 20,d4g4 f1f6 g4e2 f6f8,2269,75,73,172,advantage kingsideAttack master masterVsMaster middlegame short,https://lichess.org/qxYmyZ9B/black#40,
0ez6S,8/8/8/2p5/3kP3/5K2/8/8 w - - 1 48,f3f4 c5c4 f4f3 c4c3 f3e2 d4e4,2269,82,91,832,crushing endgame long pawnEndgame quietMove,https://lichess.org/YhFDTy2G#95,
0gZA3,4Q3/4n3/pk1R2p1/1p3p2/1q6/2p2P2/5P2/K7 b - - 7 43,b6a5 e8d8 a5a4 d6d4 e7c6 d4b4,2269,81,88,287,crushing endgame fork long pin,https://lichess.org/ruR7SV3a/black#86,
0m3Gr,Nnbkr3/pp3pQp/3p4/2b5/2P2N2/6P1/PP5P/R1B1KB1q w Q - 1 18,f4e2 e8e2 e1e2 h1e4,2269,77,90,1509,advantage attraction middlegame pin sacrifice short,https://lichess.org/s4Mjg01l#35,Indian_Defense Indian_Defense_Budapest_Defense
0mAQ8,3rr1k1/5pp1/p6p/1p2pPnR/3qP1P1/PPpP1PK1/B7/2Q4R b - - 2 31,d4d3 c1g5 d3d2 g5d2,2269,93,89,919,advantage middlegame short,https://lichess.org/Aaq14gJr/black#62,
0myoo,8/5k2/6rp/R2p4/4p1P1/4P1K1/5P2/8 b - - 1 63,f7e6 a5a6 e6f7 a6g6 f7g6 g3h4 d5d4 e3d4,2269,87,90,390,crushing endgame rookEndgame veryLong zugzwang,https://lichess.org/RTO9Os1G/black#126,
0tatQ,r7/p1k4Q/B1p3np/5N2/3P1b2/2K5/PPP2PP1/r6q b - - 0 26,c7b6 h7b7 b6a5 b2b4 a5a4 a6b5 c6b5 b7a6,2269,77,91,459,clearance fork mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/Q3cIAgDE/black#52,
0ufuu,4R1Q1/ppp3p1/2nb1k1p/5qr1/2PP1p2/8/PP1B1PP1/5NK1 b - - 0 29,f5h3 f1g3 g5g3 f2g3,2269,83,90,1223,crushing middlegame quietMove short,https://lichess.org/6dEQuePe/black#58,
0vl1I,r1bqk2r/pp3ppp/2p5/2bpN3/2BQn3/8/PPP2PPP/RNB1R1K1 w kq - 2 9,e1e4 c5d4 e5c6 d5e4 c6d8 e8d8,2269,77,91,2543,advantage intermezzo long opening,https://lichess.org/feCDoXhJ#17,Italian_Game Italian_Game_Two_Knights_Defense
0w1EK,3r4/5bk1/3N1p2/p1P4p/5p1P/1PK1p3/6P1/3R4 b - - 2 47,f7e6 d6f5 e6f5 d1d8 f5e4 d8d4,2269,75,88,228,advantage discoveredAttack endgame long,https://lichess.org/a6gIhNZI/black#94,
0wfQa,8/4pk1R/3p1br1/3P1K2/4PB2/8/8/8 b - - 8 60,f6g7 f4g5 g6g5 f5g5,2269,176,76,10,crushing endgame short,https://lichess.org/HVqfZgsL/black#120,
0xlcZ,1k5r/3Bn3/P1p3P1/1pbpp1B1/8/6p1/5PP1/R5K1 w - - 0 32,g5e7 g3f2 g1f1 h8h1 f1e2 h1a1 e7d6 c5d6,2269,82,92,954,advancedPawn crushing endgame skewer veryLong,https://lichess.org/erUN9gSW#63,
0zNUC,3r2k1/1p3ppp/p2p1p2/2nB1P2/2Q3P1/8/PPP4q/1K1R4 b - - 1 24,d8d7 b2b4 b7b5 c4c3,2269,84,84,878,advantage endgame short,https://lichess.org/0oxwfpxQ/black#48,
